source_id,work_order,open_time,close_time,asset_recorded,asset_corrected,status,downtime_min,work_type,finding_text,followup_text,technician_initials,permit_id,permit_close_time,duplicate_link,reliability_code
WO-001,WO-78102,2026-05-04 05:38,2026-05-04 06:15,CWP-03,CWP-3,closed,22,alarm response,Low condenser-water flow alarm LF-203. Pump running at 47 Hz. Operator noted discharge pressure lower than normal.,Checked suction valve handle open. No strainer DP taps installed. Open reliability notification for flow and vibration review.,AR,PT-5501,2026-05-04 06:20,,low-flow
WO-002,WO-78107,2026-05-05 09:10,2026-05-05 09:35,CT02,CT-2,closed,0,tower inspection,CT-2 basin screen had algae mat and leaves. Fan running. Approach high during afternoon load.,Screen rinsed. No pump work performed.,GL,PT-5511,2026-05-05 09:40,,tower-approach
WO-003,WO-78114,2026-05-06 07:05,2026-05-06 08:20,STR-203,STR-CWP-3,closed,18,strainer check,Basket pulled. Moderate biofilm and pea gravel. No calibrated DP because upstream and downstream taps are not yet installed.,Basket cleaned. Recommend temporary DP taps before next diagnosis.,MS,PT-5520,2026-05-06 08:25,,suction-restriction
WO-004,WO-78125,2026-05-07 14:30,2026-05-07 16:05,CPL-203,CPL-CWP-3,closed,31,coupling repair,Elastomer spider had orange dust and one compressed lobe. Replaced spider. No missing lugs. Alignment not checked with laser.,Vibration lower during brief run but remained above alert. Open alignment work order.,AR,PT-5534,2026-05-07 16:15,,coupling
WO-005,WO-78131,2026-05-08 10:12,2026-05-08 10:45,TT-CT2FAN-DE,TT-CWP3-DE,closed,0,instrument label check,BAS screen shows CT-2 fan DE bearing at 86 deg C. Route tech confirmed sensor is on CWP-3 drive-end bearing housing.,Control shop to correct BAS label. Use route point for component identity until display is corrected.,JR,N/A,N/A,,tag-label
WO-006,WO-78138,2026-05-09 04:50,2026-05-09 05:25,P-203,CWP-3,closed,12,leak response,Seal gland wet and intermittent drip to drain pan. Flush panel had no local pressure gauge installed. HMI flow looked low.,Wiped seal area. Plan seal inspection and install local flush gauge.,MS,PT-5542,2026-05-09 05:35,,seal-leak
WO-007,WO-78144,2026-05-10 08:05,2026-05-10 11:30,DPT-203,DPT-CWP3-STR,closed,0,temporary instrumentation,Installed temporary upstream and downstream strainer pressure taps. First stable DP check deferred until pump run at normal speed.,Technician marked taps installed at 14:30 in field note; CMMS start time only reflects job release.,LC,PT-5550,2026-05-10 11:40,,instrument-install
WO-008,WO-78151,2026-05-10 12:20,2026-05-10 17:45,CWP-3,CWP-3,closed,64,seal replacement,Close-out text states inboard mechanical seal replaced and leak stopped. Completion tab lacks technician initials.,Permit close time 12:10 is earlier than close-out. Parts issue not attached. Post-work operator note still reports mist at guard drain.,,PT-5552,2026-05-10 12:10,,seal-leak
WO-009,WO-78155,2026-05-10 13:05,2026-05-10 13:32,CWP-3,CWP-3,cancelled duplicate,0,seal kit staging,"Planner requested correct seal kit for WO-78151. Store room response: reservation only, no issue; job cancelled as duplicate after production restart.",Does not validate seal installation under WO-78151.,PL,N/A,N/A,WO-78151,duplicate
WO-010,WO-78164,2026-05-11 07:40,2026-05-11 13:50,MCWP-3,CPL-CWP-3; M-CWP-3; CWP-3,closed,45,laser alignment,Contractor marked alignment PASS using general site tolerance sheet. Horizontal offset and angular readings remain outside OEM tolerance.,Suction pipe support clamp tightened after final reading. No repeat laser measurement captured.,MR,PT-5561,2026-05-11 14:05,,alignment
WO-011,WO-78169,2026-05-11 16:10,2026-05-11 16:45,SFP-203,SFP-CWP3,closed,0,flush panel check,Local flush pressure gauge installed. First reading 19 psi while pump was running at 50 Hz and seal mist present.,Minimum flush pressure requires comparison to OEM criteria. Flush filter not changed under this order.,LC,PT-5565,2026-05-11 16:50,,seal-flush
WO-012,WO-78174,2026-05-12 08:00,2026-05-12 09:20,CT-2,CT-2,closed,0,tower cleaning,CT-2 basin screen 60 percent matted. Fan gearbox oil at lower sight glass mark. Approach was high before cleaning.,Screen cleaned and gearbox topped off. Approach improved later in day; pump vibration and seal leak persisted.,GL,PT-5570,2026-05-12 09:25,,tower-approach
WO-013,WO-78180,2026-05-12 13:15,2026-05-12 14:05,FT-203,FT-CWP3,closed,0,flow verification,Clamp-on ultrasonic meter read 1325 gpm while BAS showed 995 gpm at same speed. Loop card scale and BAS scale mismatch suspected.,Controls to perform loop scaling correction. Do not use pre-correction BAS flow alone for pump curve comparison.,JR,N/A,N/A,,instrument-scaling
WO-014,WO-78186,2026-05-13 06:20,2026-05-13 06:52,GB-204,GB-CT2,closed,0,gearbox inspection,GB-CT2 oil level midpoint after top-off. Gearbox vibration normal. No evidence tying tower gearbox to CWP-3 DE bearing temperature.,Continue routine monitoring.,GL,N/A,N/A,,tower-gearbox
WO-015,WO-78188,2026-05-15 09:15,2026-05-15 10:20,FT-CWP3,FT-CWP3,closed,0,loop scaling correction,BAS scaling corrected from 0-2000 gpm to 0-1500 gpm to match loop card. Post-correction BAS flow matched ultrasonic within 2.5 percent.,Use post-correction BAS values as measured flow. Pre-correction values require rescale.,JR,N/A,N/A,,instrument-scaling
WO-016,WO-78195,2026-05-15 14:10,2026-05-15 15:05,STR-CWP-3,STR-CWP-3,closed,28,strainer cleaning,"Basket 70 percent blinded with tower fill chips, biofilm, and gasket fragments. Pre-clean DP 8.4 psi at 50 Hz. Post-clean DP 2.1 psi.",Flow improved but vibration remained in alarm range. Investigate tower debris source and pump train alignment.,MS,PT-5588,2026-05-15 15:15,,suction-restriction
WO-017,WO-78202,2026-05-16 08:50,2026-05-16 09:25,BV-CT2,BV-204,closed,0,bypass valve check,BAS command 18 percent and feedback 21 percent during high approach event. No mechanical stroke calibration record attached.,Valve trend does not explain pump vibration or seal leak. Use as tower temperature contributor only.,LC,N/A,N/A,,bypass-valve
WO-018,WO-78208,2026-05-16 12:00,2026-05-16 12:40,CWP3-DE-BRG,TT-CWP3-DE,inspection deferred,0,bearing review,DE bearing temperature reached 91 deg C on 2026-05-12. No bearing defect frequencies in route notes. Bearing not inspected because alignment remains unresolved.,Inspect bearing only after alignment corrected or if temperature remains above stop threshold.,AR,N/A,N/A,,bearing-temperature
WO-019,WO-78214,2026-05-17 06:05,2026-05-17 07:15,CWP-3,CWP-3,closed incomplete,17,low-flow alarm response,"Low-flow alarm during Chiller 1 loading. BAS flow now scaled correctly; flow lower than curve expectation at 47 Hz. Strainer DP 3.6 psi, not action level.","Remaining low flow appears pump performance/alignment related, not strainer-only.",MS,PT-5591,2026-05-17 07:20,,pump-performance
WO-020,WO-78220,2026-05-18 09:30,2026-05-18 10:05,SFP-CWP3,SFP-CWP3,closed,0,flush filter service,Flush filter element replaced. Pressure increased from 19 psi to 27 psi at 50 Hz. Seal still showed wet ring at gland after 30 minute run.,"Flush restriction improved, but seal condition not fully resolved. Correct seal replacement remains unverified.",LC,PT-5598,2026-05-18 10:10,,seal-flush
WO-021,WO-78224,2026-05-18 11:45,2026-05-18 12:25,CWP-3,CWP-3,closed,9,chiller trip support,Chiller 1 trip followed low condenser-water flow alarm. CWP-3 at 47 Hz. Tower approach normal at trip time. Strainer DP 3.4 psi.,Trip impact tied to pump flow shortfall. No independent chiller fault found.,JR,N/A,N/A,,low-flow
WO-022,WO-78229,2026-05-18 14:20,2026-05-18 15:00,CWP-03,CWP-3,open follow-up,0,reliability follow-up,"Reliability review requested for unresolved alignment, seal, and pump performance conflicts.","Do not close until inventory, alignment, route, pump curve, and flush evidence reconciled.",RS,N/A,N/A,,reconciliation
WO-023,WO-78231,2026-05-18 15:25,2026-05-18 15:40,MTR-203,M-CWP-3,closed,0,motor current check,Motor current balanced. No evidence of phase imbalance. Motor vibration lower than pump DE readings.,Electrical motor fault not supported by evidence.,JR,N/A,N/A,,motor-check
WO-024,WO-78235,2026-05-18 16:00,2026-05-18 16:20,CWP-3A,CWP-3,planner note,0,planning note,Planner used wrong asset CWP-3A in replacement seal planning line. No inspection performed.,Correct asset is CWP-3. Do not create separate CWP-3A asset.,PL,N/A,N/A,,tag-crosswalk
